PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
10751340,CEACAM1,I Marker,Cytotrophoblast cell,Normal cell,Uterus,low-throughput,Flow cytometry;Western blot;Immunohistochemistry;Microscopic observation,"The adhesion molecule CEACAM1 (CD66a, C-CAM, BGP) is specifically expressed by the extravillous intermediate trophoblast","CEACAM1 (CD66A, C-CAM, BGP) is an adhesion molecule of the carcinoembryonic antigen family which has been shown to be normally expressed at the apical pole of epithelial cells.",CEACAM1,
11021834,SV2A,I Marker,Nerve cell,Normal cell,Nerve,low-throughput,Microscopic observation;Immunofluorescent staining,"Synaptic vesicle protein 2, A new neuroendocrine cell marker","SV2B is also widely expressed in SV2A-containing neurons, although not as widely as SV2A, whereas SV2C is only observed in a small number of neurons in a few brain areas.",SV2C;SV2B,CL_0002319
11021834,SV2B,I Marker,Nerve cell,Normal cell,Nerve,low-throughput,Microscopic observation;Immunofluorescent staining,"Synaptic vesicle protein 2, A new neuroendocrine cell marker","SV2B is also widely expressed in SV2A-containing neurons, although not as widely as SV2A, whereas SV2C is only observed in a small number of neurons in a few brain areas.",SV2C;SV2A,CL_0002319
11021834,SV2C,I Marker,Nerve cell,Normal cell,Nerve,low-throughput,Microscopic observation;Immunofluorescent staining,"Synaptic vesicle protein 2, A new neuroendocrine cell marker","SV2B is also widely expressed in SV2A-containing neurons, although not as widely as SV2A, whereas SV2C is only observed in a small number of neurons in a few brain areas.",SV2B;SV2A,CL_0002319
11273870,CD68,I Marker,Macrophage cell,Normal cell,Kidney,low-throughput,Immunofluorescent staining,Macrophage subclasses and proliferation in childhood IgA glomerulonephritis ,"There were more intraglomerular positive cells of CD15, CD68, and the four macrophage subclasses in PSAGN than IgAGN.",FUT4,CL_0000235
11273870,FUT4,I Marker,Macrophage cell,Normal cell,Kidney,low-throughput,Immunofluorescent staining,Macrophage subclasses and proliferation in childhood IgA glomerulonephritis ,"There were more intraglomerular positive cells of CD15, CD68, and the four macrophage subclasses in PSAGN than IgAGN.",CD68,CL_0000235
12587990,CD34,I Marker,Muscle cell,Normal cell,Muscle,low-throughput,Flow cytometry,Purification of human muscle-derived cells using an immunoselective method for potential use in urological regeneration,"The expression proportion of the stem cell marker CD34 and myoblast marker CD56 in the hMDCs was higher after purification (MDCSS) than before (MPT), at 32.13% vs 4.12% and 21.56% vs 8.60%, respectively. ",NCAM1,CL_0000187
14742264,PECAM1,I Marker,Endothelial cell,Normal cell,Blood vessel,low-throughput,Microscopic observation;Immunofluorescent staining;Immunohistochemistry,Enhanced cytomegalovirus infection in atherosclerotic human blood vessels,"Heat-induced antigen retrieval was used for detection of CD31 and CD45 the antibodies to CD31 (JC170A, DAKO) and CD45 (DAKO) were used at 1:20 dilution and 1:4000 dilution, respectively.",PTPRC,CL_0000115
14742264,PTPRC,I Marker,Endothelial cell,Normal cell,Blood vessel,low-throughput,Microscopic observation;Immunofluorescent staining;Immunohistochemistry,Enhanced cytomegalovirus infection in atherosclerotic human blood vessels,"Heat-induced antigen retrieval was used for detection of CD31 and CD45 the antibodies to CD31 (JC170A, DAKO) and CD45 (DAKO) were used at 1:20 dilution and 1:4000 dilution, respectively.",PECAM1,CL_0000115
15614775,PDGFB,I Marker,Stem cell,Normal cell,Embryo,low-throughput + high-throughput,Weston blot;Immunofluorescent staining;Bioinformatic prediction;RT-PCR;RT-qPCR;Immunohistochemistry;DNA-Seq,Vascular Gene Expression and Phenotypic Correlation During Differentiation of Human Embryonic Stem Cells,"Up-regulated genes include vasculogenic growth factors such as VEGFA, VEGFC, FIGF (VEGFD), ANG1,ANG2, TGF3, and PDGFB, as well as the related receptors FLT1, FLT4, PDGFRB, TGFR2, and TGFR3,other markers such as CD34, VCAM1, PECAM1, VE-CAD, and transcription factors TAL1, GATA2, and GATA3.",PECAM1;PDGFRB;FLT1;CD34,CL_0000034
15663475,DCX,I Marker,Progenitor cell,Normal cell,Nerve,low-throughput + high-throughput,Weston blot;qPCR;Immunofluorescent staining;DNA-Seq,Neuronal precursor-specific activity of a human doublecortinregulatory sequence,The doublecortin (DCX)gene encodes a 40-kDa microtubule-associated protein specifically expressed in neuronal precur-sors of the developing and adult CNS.,,
15734898,SM2,I Marker,Smooth muscle cell,Normal cell,Epididymis,low-throughput,Microscopic observation;Immunohistochemistry,Immunophenotypical characterization of contractile cellsin caput epididymidis of men affected by congenitalor post-inflammatory obstructive azoospermia,"Normal caput epididymidis myoid cells expressed a scattered immunostaining for SM2, marker of differentiated contractile SMC, while no staining was detected for SMemb and for its transcription factor BTEB2, markers of undifferentiated proliferating SMC.",KLF5,CL_0000192
16026547,CD34,I Marker,Stem cell,Normal cell,Embryo,low-throughput,Immunohistochemical;Microscopic observation;Immunofluorescent staining;Flow cytometry;RT-PCR;Weston blot,Characterization of cells in the developing human liver,"Human hepatic progenitor cells (HPCs) have been shown to co-express the hematopoietic stem cell (HSC) markers, CD117 and CD34.",KIT;AFP;KRT19,CL_0000034
16026547,AFP,I Marker,Stem cell,Normal cell,Embryo,low-throughput,Immunohistochemical;Microscopic observation;Immunofluorescent staining;Flow cytometry;RT-PCR;Weston blot,Characterization of cells in the developing human liver,"Isolated CD117+/CD34+/CD90- cells in vitro expressed both the genes and proteins for the hepatic markers such as albumin, alpha feto protein (AFP), alpha1-antitrypsin, and cytokeratin 19 (CK19).",KIT;KRT19;CD34,CL_0000034
16047342,CD69,I Marker,T cell,Normal cell,Lymph,low-throughput,Western blot,"Notch ligands Delta-like1, Delta-like4 and Jagged1 differentially regulate activation of peripheral T helper cells","DLL1 and Jagged1 induce a dose-dependent inhibition of early activation markers CD69 and CD25, as well as inhibition of proliferation after anti-CD3 stimulation of purified CD4+ T cells",DLL1,CL_0000084
16047342,IL2RA,I Marker,T cell,Normal cell,Lymph,low-throughput,Western blot,"Notch ligands Delta-like1, Delta-like4 and Jagged1 differentially regulate activation of peripheral T helper cells","DLL1 and Jagged1 induce a dose-dependent inhibition of early activation markers CD69 and CD25, as well as inhibition of proliferation after anti-CD3 stimulation of purified CD4+ T cells",DLL1,CL_0000084
16047342,CD4,I Marker,T cell,Normal cell,Lymph,low-throughput,Western blot,"Notch ligands Delta-like1, Delta-like4 and Jagged1 differentially regulate activation of peripheral T helper cells","DLL1 and Jagged1 induce a dose-dependent inhibition of early activation markers CD69 and CD25, as well as inhibition of proliferation after anti-CD3 stimulation of purified CD4+ T cells",CD3D,CL_0000084
16047342,CD3D,I Marker,T cell,Normal cell,Lymph,low-throughput,Western blot,"Notch ligands Delta-like1, Delta-like4 and Jagged1 differentially regulate activation of peripheral T helper cells","DLL1 and Jagged1 induce a dose-dependent inhibition of early activation markers CD69 and CD25, as well as inhibition of proliferation after anti-CD3 stimulation of purified CD4+ T cells",CD4,CL_0000084
16088401,MUC5AC,I Marker,Gastric cell,Normal cell,Gastrointestinal tract,low-throughput,Western blot;Microscopic observation;Immunohistochemistry;RT-PCR;qRT-PCR;qPCR,Expression of small intestinal and colonic phenotypes in complete intestinal metaplasia of the human stomach,"The expression of CA1 mRNA strongly correlated with that of sucrase–isomaltase, and inversely with that of MUC5AC in isolated IM glands.",CA1,
16322640,CD34,I Marker,Trophoblast cell,Normal cell,Placenta,low-throughput,Flow cytometry;Microscopic observation,"The adhesion molecule CEACAM1 (CD66a, C-CAM, BGP) is specifically expressed by the extravillous intermediate trophoblast","The stem cell–associated marker CD34 was at peak levels in the SVF cells and/or early-passage ASCs and remained present, although at reduced levels, throughout the culture period.",CEACAM1,CL_0000351
16395407,CD200,I Marker,Stem cell,Normal cell,Skin,low-throughput,Immunohistochemistry;Microscopic observation;Flow cytometry,Characterization and isolation of stem cell-enriched human hair follicle bulge cells,"Positive markers for bulge cells included CD200, PHLDA1, follistatin, and frizzled homolog 1, while CD24, CD34, CD71, and CD146 were preferentially expressed by non-bulge keratinocytes.",PHLDA1,CL_0000034
16460677,NES,I Marker,Mesenchyme cell,Normal cell,Adipose,low-throughput,RT-PCR;qRT-PCR;Western blot;Immunofluorescent staining,"Human adipose tissue-derived mesenchymal stem cells differentiate into insulin, somatostatin, and glucagon expressing cells","During the proliferation period, the cells expressed the stem cell markers NES, ABCG2, SCF, THY-1 as well as the pancreatic endocrine transcription factor ISL-1. T",THY1;KITLG;ISL1;ABCG2,CL_0008019
16460677,KITLG,I Marker,Mesenchyme cell,Normal cell,Adipose,low-throughput,RT-PCR;qRT-PCR;Western blot;Immunofluorescent staining,"Human adipose tissue-derived mesenchymal stem cells differentiate into insulin, somatostatin, and glucagon expressing cells","During the proliferation period, the cells expressed the stem cell markers NES, ABCG2, SCF, THY-1 as well as the pancreatic endocrine transcription factor ISL-1. T",THY1;NES;ISL1;ABCG2,CL_0008019
16947015,PECAM1,I Marker,Endothelial cell,Normal cell,Blood vessel,low-throughput,Immunohistochemistry;Microscopic observation,Temporo-spatial distribution of blood vessels in human lumbar intervertebral discs,The specific endothelial cell marker CD 31 (PECAM) was used to immunohistochemically investigate 42 paraffin-embedded complete mid-sagittal human intervertebral disc sections of various ages (0 86 years) and varying extent of histomorphological degeneration. ,PECAM1,CL_0000115
17107852,NFKAPPABFAMILY,I Marker,Adipocyte cell,Normal cell,Adipose,low-throughput,qPCR,Molecular epidemiologic evidence for diabetogenic effects of dioxin exposure in U.S. Air force veterans of the Vietnam war ,"These results show that the GLUT4:NFkappaB ratio is a reliable marker for the diabetogenic action of dioxin, particularly at very low exposure levels that are not much higher than those found in the general public, implying a need to address current exposure levels.",SLC2A4,
18177424,CD34,I Marker,Progenitor cell,Normal cell,Blood vessel,low-throughput,Flow cytometry;Immunohistochemistry;Immunofluorescent staining;Microscopic observation,Vascular morphogenesis by adult bone marrow progenitor cells in three-dimensional fibrin matrices,"The culture of unselected BMMNC in 3D fibrin matrices led to the formation of cell clusters expressing the endothelial progenitor cell (EPC) markers CD133, CD34, vascular endothelial growth factor receptor (VEGFR)-2, and c-KIT, with stellar shaped spreading of peripheral elongated cells forming tube-like structures with increasing complexity over time.",PROM1;KIT;KDR,
18177424,PROM1,I Marker,Progenitor cell,Normal cell,Blood vessel,low-throughput,Flow cytometry;Immunohistochemistry;Immunofluorescent staining;Microscopic observation,Vascular morphogenesis by adult bone marrow progenitor cells in three-dimensional fibrin matrices,"The culture of unselected BMMNC in 3D fibrin matrices led to the formation of cell clusters expressing the endothelial progenitor cell (EPC) markers CD133, CD34, vascular endothelial growth factor receptor (VEGFR)-2, and c-KIT, with stellar shaped spreading of peripheral elongated cells forming tube-like structures with increasing complexity over time.",KIT;KDR;CD34,
18177424,PECAM1,I Marker,Progenitor cell,Normal cell,Blood vessel,low-throughput,Flow cytometry;Immunohistochemistry;Immunofluorescent staining;Microscopic observation,Vascular morphogenesis by adult bone marrow progenitor cells in three-dimensional fibrin matrices,"Developed vascular structures expressed the endothelial markers CD34, VEGFR-2, CD31, von Willebrand Factor (vWF), and podocalyxin, showed basement-membrane-lined lumina containing CD45+ cells and were surrounded by alpha-smooth muscle actin (SMA) expressing mural cells.",KDR;CD34,
18558994,CD200,I Marker,Epithelial cell,Normal cell,Hair follicle,low-throughput,Immunohistochemistry;Weston blot;Immunofluorescent staining;Microscopic observation,Immunophenotyping of the human bulge region: the quest to define useful in situ markers for human epithelial hair follicle stem cells and their niche,"According to our experience, the most useful positive markers for human bulge cells turned out to be cytokeratin 15, cytokeratin 19 and CD200, but were not exclusive, while beta1 integrin and LHX2 IR were not upregulated by human bulge keratinocytes.",LHX2,CL_0000066
18603562,TMPRSS6,I Marker,Blood cell,Normal cell,Blood,low-throughput + high-throughput,Bioinformatic prediction;DNA-seq,"A mutation in the TMPRSS6 gene, encoding  a transmembrane serine protease that suppresses  hepcidin production, in familial iron deficiency anemia refractory to oral iron","TMPRSS6 mutation leads to overproduction of hepcidin and, in turn, to defective iron absorption and utilization",,
18663128,IL4,I Marker,T cell,Normal cell,Lymph,low-throughput + high-throughput,DNA-seq;Immunofluorescent staining;RT-PCR;Flow-throughput cytometry;qPCR;qRT-PCR,Human interleukin 17-producing cells originate from a CD161+CD4+ T cell precursor,"IL4 is the marker expressed in T cell regulated by IL-4 signaling,STAT6,GATA3",STAT6;GATA3,CL_0000084
18663128,IL5,I Marker,T cell,Normal cell,Lymph,low-throughput + high-throughput,DNA-seq;Immunofluorescent staining;RT-PCR;Flow-throughput cytometry;qPCR;qRT-PCR,Human interleukin 17-producing cells originate from a CD161+CD4+ T cell precursor,"IL5 is the marker expressed in T cell regulated by IL-4 signaling,STAT6,GATA3",STAT6;GATA3,CL_0000084
18663128,IL9,I Marker,T cell,Normal cell,Lymph,low-throughput + high-throughput,DNA-seq;Immunofluorescent staining;RT-PCR;Flow-throughput cytometry;qPCR;qRT-PCR,Human interleukin 17-producing cells originate from a CD161+CD4+ T cell precursor,"IL9 is the marker expressed in T cell regulated by IL-4 signaling,STAT6,GATA3",STAT6;GATA3,CL_0000084
18663128,IL13,I Marker,T cell,Normal cell,Lymph,low-throughput + high-throughput,DNA-seq;Immunofluorescent staining;RT-PCR;Flow-throughput cytometry;qPCR;qRT-PCR,Human interleukin 17-producing cells originate from a CD161+CD4+ T cell precursor,"IL13 is the marker expressed in T cell regulated by IL-4 signaling,STAT6,GATA3",STAT6;GATA3,CL_0000084
18972258,FGF23,I Marker,Fibroblast cell,Normal cell,Kidney,low-throughput,Biochemistry;Immunosuppressive treatment,"Early changes in bone mass, biochemical bone markers and fibroblast growth factor 23 after renal transplantation","Thus, these markers may be a reasonable choice for routine assessment of bone turnover in this setting, the role of FGF-23 remains to be further elucidated.",,CL_0000057
18978407,THY1,I Marker,Mesenchyme cell,Normal cell,Muscle,low-throughput,qRT-PCR;Flow cytometry;Microscopic observation;Immunofluorescent staining,Differentiation potential of multipotent progenitor cells derived from war-traumatized muscle tissue,"The isolated mesenchymal progenitor cells stained positive for cell-surface markers (CD73, CD90, CD105), which are characteristic of adult human mesenchymal stem cells.",NT5E;ENG,CL_0008019
18978407,ENG,I Marker,Mesenchyme cell,Normal cell,Muscle,low-throughput,qRT-PCR;Flow cytometry;Microscopic observation;Immunofluorescent staining,Differentiation potential of multipotent progenitor cells derived from war-traumatized muscle tissue,"The isolated mesenchymal progenitor cells stained positive for cell-surface markers (CD73, CD90, CD105), which are characteristic of adult human mesenchymal stem cells.",NT5E;THY1,CL_0008019
19035347,NKX25,I Marker,Muscle cell,Normal cell,Heart,low-throughput,Western blot;Immunohistochemistry,Cooperative interaction of Nkx2.5 and Mef2c transcription factors during heart development,"Physical, functional, and genetic interactions between Nkx2.5 and Mef2c are necessary for ventricle formation.",MEF2C,CL_0000187
19079324,KRT19,I Marker,Epithelial cell,Normal cell,Pancreas,low-throughput,Flow cytometry;RT-PCR;Immunofluorescent staining,Epithelial cells within the human pancreas do not coexpress mesenchymal antigens: epithelial-mesenchymal transition is an artifact of cell culture,"Differentiated MSCs do not revert to a true epithelial cell phenotype in our culture conditions, as epithelial cell surface markers (EPCAM, CK19 and E-Cadherin) are not reexpressed, although the MSC phenotype is altered.",EPCAM,CL_0000066
19224509,ITGB1,I Marker,Luteinizing granulosa cell,Normal cell,Ovarian,low-throughput + high-throughput,RT-qPCR;qRT-PCR;qPCR;Flow cytometry;Immunohistochemistry;Microscopic observation;DNA sequencing,The Multipotency of Luteinizing Granulosa Cells Collected From Mature Ovarian Follicles,ITGB1 is a Mesenchymal lineage marker expressed in Luteinizing Granulosa Cell.,,
19224509,CD44,I Marker,Luteinizing granulosa cell,Normal cell,Ovarian,low-throughput + high-throughput,RT-qPCR;qRT-PCR;qPCR;Flow cytometry;Immunohistochemistry;Microscopic observation;DNA sequencing,The Multipotency of Luteinizing Granulosa Cells Collected From Mature Ovarian Follicles,CD44 is a Mesenchymal lineage marker expressed in Luteinizing Granulosa Cell.,,
19224509,THY1,I Marker,Luteinizing granulosa cell,Normal cell,Ovarian,low-throughput + high-throughput,RT-qPCR;qRT-PCR;qPCR;Flow cytometry;Immunohistochemistry;Microscopic observation;DNA sequencing,The Multipotency of Luteinizing Granulosa Cells Collected From Mature Ovarian Follicles,THY1 is a Mesenchymal lineage marker expressed in Luteinizing Granulosa Cell.,,
19224509,ENG,I Marker,Luteinizing granulosa cell,Normal cell,Ovarian,low-throughput + high-throughput,RT-qPCR;qRT-PCR;qPCR;Flow cytometry;Immunohistochemistry;Microscopic observation;DNA sequencing,The Multipotency of Luteinizing Granulosa Cells Collected From Mature Ovarian Follicles,ENG is a Mesenchymal lineage marker expressed in Luteinizing Granulosa Cell.,,
19224509,KIT,I Marker,Luteinizing granulosa cell,Normal cell,Ovarian,low-throughput + high-throughput,RT-qPCR;qRT-PCR;qPCR;Flow cytometry;Immunohistochemistry;Microscopic observation;DNA sequencing,The Multipotency of Luteinizing Granulosa Cells Collected From Mature Ovarian Follicles,KIT is a Mesenchymal lineage marker expressed in Luteinizing Granulosa Cell.,,
19224509,ALCAM,I Marker,Luteinizing granulosa cell,Normal cell,Ovarian,low-throughput + high-throughput,RT-qPCR;qRT-PCR;qPCR;Flow cytometry;Immunohistochemistry;Microscopic observation;DNA sequencing,The Multipotency of Luteinizing Granulosa Cells Collected From Mature Ovarian Follicles,ALCAM is a Mesenchymal lineage marker expressed in Luteinizing Granulosa Cell.,,
19729007,CD34,I Marker,Endothelial cell,Normal cell,Blood vessel,low-throughput,Immunofluorescent staining;Microscopic observation,"Identification of lymphatics in the ciliary body of the human eye: a novel ""uveolymphatic"" outflow pathway","LYVE-1-positive lymphatic channels in the ciliary body had a distinct lumen, were negative for blood vessel endothelial cell marker CD34, and were surrounded by either discontinuous or no collagen IV-positive basement membrane.",LYVE1,CL_0000115
19878981,LIN28A,I Marker,Stem cell,Normal cell,Breast,low-throughput + high-throughput,qRT-PCR;qPCR;Western blot;Flow cytometry;DNA-seq;Microscopic observation,"An epigenetic switch involving NF-kappaB, Lin28, Let-7 MicroRNA, and IL6 links inflammation to cell transformation ",Src activation triggers an inflammatory response mediated by NF-kB that directly activates LIN28 transcription and rapidly reduces LET7 microRNA levels.,,CL_0000034
20870305,NPPA,I Marker,Stem cell,Normal cell,Myocardium,low-throughput + high-throughput,Immunohistochemistry;Sequencing technique;Immunocytochemistry;RT-PCR;Weston blot,Generation of functional cardiomyocytes from mouse induced pluripotent stem cells,ANF is one of the cardiomyocyte markers,HEY2,CL_0000034
20870305,HEY2,I Marker,Stem cell,Normal cell,Myocardium,low-throughput + high-throughput,Immunohistochemistry;Sequencing technique;Immunocytochemistry;RT-PCR;Weston blot,Generation of functional cardiomyocytes from mouse induced pluripotent stem cells,HEY2 is one of the cardiomyocyte markers,NPPA,CL_0000034
20875405,KRT8,I Marker,Epithelial cell,Normal cell,Epidermis,low-throughput,Immunohistochemistry;Weston blot;Immunohistochemistry;RT-PCR;Microscopic observation,Expression of paired-like homeodomain transcription factor 2c(PITX2c) in epidermal keratinocytes,Strong expression of KRT8 is evident in PITX2c-induced malformed epidermis including horn-like structure,PITX2,CL_0000066
21478186,OLIG2,I Marker,Stromal cell,Normal cell,Brain,low-throughput,Microscopic observation;Immunohistochemistry,Cell proliferation in human ganglionic eminence and suppression after prematurity-associated haemorrhage,"The expression of cell lineage markers (such as Olig2, SOX2, platelet-derived growth factor receptor alpha) showed partitioning at the microscopic level.",,CL_0000499
21478186,SOX2,I Marker,Stromal cell,Normal cell,Brain,low-throughput,Microscopic observation;Immunohistochemistry,Cell proliferation in human ganglionic eminence and suppression after prematurity-associated haemorrhage,"The expression of cell lineage markers (such as Olig2, SOX2, platelet-derived growth factor receptor alpha) showed partitioning at the microscopic level.",,CL_0000499
21909091,KLRB1,I Marker,Lymphoid cell,Normal cell,Lymph,low-throughput,Flow cytometry;qRT-PCR;qPCR,Human IL-25- and IL-33-responsive type 2 innate lymphoid cells are defined by expression of CRTH2 and CD161,natural killer cell marker CD161.,IL33;IL25,CL_0000542
21909091,KLRB1,I Marker,Lymphoid cell,Normal cell,Lymph,low-throughput,Flow cytometry;qRT-PCR;qPCR,Human IL-25- and IL-33-responsive type 2 innate lymphoid cells are defined by expression of CRTH2 and CD161,natural killer cell marker CD161.,IL33;IL25,CL_0001065
21917027,CD27,I Marker,B cell,Normal cell,Immune,low-throughput,Flow cytometry;RT-PCR;qRT-PCR,Soluble CD27 induces IgG production through activation of antigen-primed B cells,"sCD27 may act to enhance immunoglobulin production and differentiation of activated memory or recently antigen-experienced B cells, thus providing an activation signal to antigen-experienced B cells.",XBP1;PRDM1,CL_0000236
21917027,CD70,I Marker,B cell,Normal cell,Immune,low-throughput,Flow cytometry;RT-PCR;qRT-PCR,Soluble CD27 induces IgG production through activation of antigen-primed B cells,"CD70 binding to rhsCD27 is able to activate Blimp-1 and XBP-1, transcription factors associated with plasma cell differentiation.",XBP1;PRDM1,CL_0000236
21918187,MS4A1,I Marker,B cell,Normal cell,Lymph,low-throughput + high-throughput,RT-PCR;Flow cytometry;Immunohistochemistry;Bioinformatic analysis,Characterization of a Transitional Preplasmablast Population in the Process of Human B Cell to Plasma Cell Differentiation,"Ttonsil-purified CD20+ CXCR42CXCR5+ centrocytes already express PC transcription factors (IRF4, PRDM1, XBP1) together with B cell transcription factors (BCL6, PAX5), although it is not clear whether centrocytes are a heterogeneous cell population containing centrocytes and cells already committed to PC differentiation",PAX5;BCL6;XBP1;IRF4;PRDM1,CL_0000236
21918550,NES,I Marker,Stem cell,Normal cell,Nerve,low-throughput,Immunofluorescent staining;PCR;Immunocytochemical staining;qPCR,Mitochondrial gene replacement in human pluripotent stem cell-derived neural progenitors,NES is one of the hNP markers,TFAM,CL_0000034
21918550,MSI1,I Marker,Stem cell,Normal cell,Nerve,low-throughput,Immunofluorescent staining;PCR;Immunocytochemical staining;qPCR,Mitochondrial gene replacement in human pluripotent stem cell-derived neural progenitors,MSI1 is one of the hNP markers,TFAM,CL_0000034
21918550,FN1,I Marker,Stem cell,Normal cell,Nerve,low-throughput,Immunofluorescent staining;PCR;Immunocytochemical staining;qPCR,Mitochondrial gene replacement in human pluripotent stem cell-derived neural progenitors,FN1 is one of the hNP markers,TFAM,CL_0000034
21918550,SOX2,I Marker,Stem cell,Normal cell,Nerve,low-throughput,Immunofluorescent staining;PCR;Immunocytochemical staining;qPCR,Mitochondrial gene replacement in human pluripotent stem cell-derived neural progenitors,SOX2 is one of the hNP markers,TFAM,CL_0000034
21947380,DNER,I Marker,Pancreas cell,Normal cell,Pancreas,low-throughput,Immunohistochemistry;Microscopic observation;Flow-throughput cytometry,Pancreatic islet and progenitor cell surface markers with cell sorting potential,"Extracellular epitopes of SEZ6L2, LRP11, DISP2, DDR1 and DNER have been identified as useful tags by applying specific antibodies to visualise pancreatic cell types at specific stages of development.",PTF1A,
21947380,FXYD2,I Marker,Pancreas cell,Normal cell,Pancreas,low-throughput,Immunohistochemistry;Microscopic observation;Flow-throughput cytometry,Pancreatic islet and progenitor cell surface markers with cell sorting potential,"In the adult pancreas SEZ6L2, LRP11, DISP2 and SLC30A8, but also FXYD domain containing ion transport regulator 2 (FXYD2), tetraspanin 7 (TSPAN7) and transmembrane protein 27 (TMEM27), retain an islet-specific expression, whereas DDR1 is undetectable.",PTF1A,
21969378,JAG2,I Marker,Stem cell,Normal cell,Embryo,low-throughput + high-throughput,Weston blot;qRT-PCR;Co-IP,Alternative Splicing Produces Nanog Protein Variants with Different Capacities for Self-renewal and Pluripotency in Embryonic Stem Cells,JAG2 of Nanog has been identified as critical for ES cell self-renewal and for stabilizing a pluripotent gene signature. ,NANOG,CL_0000034
21985365,CD3D,I Marker,T cell,Normal cell,Immune,low-throughput,Flow cytometry;ELISA;CBA,Altered phenotype of regulatory T cells associated with lack of human immunodeficiency virus (HIV)-1-specific suppressive function,The CD3+ CD4+ CD25hiCD45RO+ phenotype correlated well with FoxP3 expression in both the HIV-1+ and seronegative control cohorts. ,FOXP3,CL_0000084
21985365,CD4,I Marker,T cell,Normal cell,Immune,low-throughput,Flow cytometry;ELISA;CBA,Altered phenotype of regulatory T cells associated with lack of human immunodeficiency virus (HIV)-1-specific suppressive function,The CD3+ CD4+ CD25hiCD45RO+ phenotype correlated well with FoxP3 expression in both the HIV-1+ and seronegative control cohorts. ,FOXP3,CL_0000084
21985365,IL2RA,I Marker,T cell,Normal cell,Immune,low-throughput,Flow cytometry;ELISA;CBA,Altered phenotype of regulatory T cells associated with lack of human immunodeficiency virus (HIV)-1-specific suppressive function,The CD3+ CD4+ CD25hiCD45RO+ phenotype correlated well with FoxP3 expression in both the HIV-1+ and seronegative control cohorts. ,FOXP3,CL_0000084
21985365,PTPRC,I Marker,T cell,Normal cell,Immune,low-throughput,Flow cytometry;ELISA;CBA,Altered phenotype of regulatory T cells associated with lack of human immunodeficiency virus (HIV)-1-specific suppressive function,The CD3+ CD4+ CD25hiCD45RO+ phenotype correlated well with FoxP3 expression in both the HIV-1+ and seronegative control cohorts. ,FOXP3,CL_0000084
22008477,HSPA5,I Marker,Liver cell,Normal cell,Liver,low-throughput,Weston blot;Hoechst staining,Cysteine aggravates palmitate-induced cell death in hepatocytes,"Mechanistic investigations revealed that pretreatment of hepatocytes with cysteine enhanced palmitate-induced unfolded protein response (UPR), evidenced by increased intracellular protein abundance of ER stress markers, including DDIT3, GRP-78.",DDIT3,CL_0000182
22014055,NCAM1,I Marker,Nerve cell,Normal cell,Lung,low-throughput,Microscopic observation,Morphology and antigen expression profile of pulmonary neuroendocrine cells in reactive proliferations and diffuse idiopathic pulmonary neuroendocrine cell hyperplasia (DIPNECH),NCAM is one of the markers of epithelial differentiation.,TTF1,CL_0002319
22028166,CD44,I Marker,Adipocyte cell,Normal cell,Adipose,low-throughput,Immunohistochemistry;RT-PCR;Flow cytometry;Immunoblotting;Immunocytochemistry;Weston blot,Rapid Isolation of Adipose Tissue-Derived Stem Cells by the Storage of Lipoaspirates,"These ASCs expressed CD44, CD73, CD90, CD105, and HLA-ABC but not CD14, CD31, CD34, CD45, CD117, CD133, and HLA-DR.",NT5E;THY1;ENG,
22028166,NT5E,I Marker,Adipocyte cell,Normal cell,Adipose,low-throughput,Immunohistochemistry;RT-PCR;Flow cytometry;Immunoblotting;Immunocytochemistry;Weston blot,Rapid Isolation of Adipose Tissue-Derived Stem Cells by the Storage of Lipoaspirates,"These ASCs expressed CD44, CD73, CD90, CD105, and HLA-ABC but not CD14, CD31, CD34, CD45, CD117, CD133, and HLA-DR.",THY1;ENG;CD44,
22028166,THY1,I Marker,Adipocyte cell,Normal cell,Adipose,low-throughput,Immunohistochemistry;RT-PCR;Flow cytometry;Immunoblotting;Immunocytochemistry;Weston blot,Rapid Isolation of Adipose Tissue-Derived Stem Cells by the Storage of Lipoaspirates,"These ASCs expressed CD44, CD73, CD90, CD105, and HLA-ABC but not CD14, CD31, CD34, CD45, CD117, CD133, and HLA-DR.",NT5E;ENG;CD44,
22028166,ENG,I Marker,Adipocyte cell,Normal cell,Adipose,low-throughput,Immunohistochemistry;RT-PCR;Flow cytometry;Immunoblotting;Immunocytochemistry;Weston blot,Rapid Isolation of Adipose Tissue-Derived Stem Cells by the Storage of Lipoaspirates,"These ASCs expressed CD44, CD73, CD90, CD105, and HLA-ABC but not CD14, CD31, CD34, CD45, CD117, CD133, and HLA-DR.",NT5E;THY1;CD44,
22028166,CD14,I Marker,Adipocyte cell,Normal cell,Adipose,low-throughput,Immunohistochemistry;RT-PCR;Flow cytometry;Immunoblotting;Immunocytochemistry;Weston blot,Rapid Isolation of Adipose Tissue-Derived Stem Cells by the Storage of Lipoaspirates,"These ASCs expressed CD44, CD73, CD90, CD105, and HLA-ABC but not CD14, CD31, CD34, CD45, CD117, CD133, and HLA-DR.",PROM1;PTPRC;CD34;PECAM1;KIT,
