PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
32043194,TGFB1,TFMarker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,RNA‑seq;Immunohistochemistry,Infammatory breast cancer cells are characterized by abrogated TGFβ1‑dependent cell motility and SMAD3 activity,TGFβ signaling pathway is involved in IBC molecular biology,SMAD4;SMAD2;SMAD3,CL_0000034
32044038,E2F1,TFMarker,Nasopharyngeal carcinoma carcinoma cell,Cancer cell,Nasopharyngeal carcinoma,low-throughput + high-throughput,RT-qPCR;Immunohistochemistry;Flow-throughput cytometry;RNA seq;Microscopic observation;Bioinformatic prediction,A significant role of transcription factors E2F in inflammation and tumorigenesis of nasopharyngeal carcinoma,"As a transcription factor, E2F1 can activate the transcriptional activity of IL-6 promoter and regulate the function of macrophages in a microenvironmental way.E2F transcription factor family is an important cycle regulator, which can promote the malignant proliferation and tumorigenesis.E2FS plays an important role in the inflammation and tumogenesis of nasopharyngeal carcinoma. E2FS is highly expressed and activated in nasopharyngeal carcinoma, providing a promising anti-tumor target for nasopharyngeal carcinoma.",IL6,CL_0001064
32044038,E2F3,TFMarker,Nasopharyngeal carcinoma carcinoma cell,Cancer cell,Nasopharyngeal carcinoma,low-throughput + high-throughput,RT-qPCR;Immunohistochemistry;Flow-throughput cytometry;RNA seq;Microscopic observation;Bioinformatic prediction,A significant role of transcription factors E2F in inflammation and tumorigenesis of nasopharyngeal carcinoma,"E2F transcription factor family is an important cycle regulator, which can promote the malignant proliferation and tumorigenesis.E2FS plays an important role in the inflammation and tumogenesis of nasopharyngeal carcinoma. E2FS is highly expressed and activated in nasopharyngeal carcinoma, providing a promising anti-tumor target for nasopharyngeal carcinoma.",IL6,CL_0001064
32046751,MYC,TFMarker,Ovarian carcinoma cell,Cancer cell,Ovarian,high-throughput,cDNA microarray analysis;MicroRNA microarray,Integrative analysis of transcription factors and microRNAs in ovarian cancer cell spheroids,"MYC, EGR1, and miR-130a-3p were hubs in our integrative analysis of ovarian CSC-enriched SFCs, suggesting that ovarian cancer SFCs display a stem cell identity with the quiescent phenotype where adhesionand cell cycle-related genes were suppressed",EGR1,CL_0001064
32046751,EGR1,TFMarker,Ovarian carcinoma cell,Cancer cell,Ovarian,high-throughput,cDNA microarray analysis;MicroRNA microarray,Integrative analysis of transcription factors and microRNAs in ovarian cancer cell spheroids,"MYC, EGR1, and miR-130a-3p were hubs in our integrative analysis of ovarian CSC-enriched SFCs, suggesting that ovarian cancer SFCs display a stem cell identity with the quiescent phenotype where adhesionand cell cycle-related genes were suppressed",MYC,CL_0001064
32046982,ETV4,TFMarker,Uterus carcinoma cell,Cancer cell,Uterus,low-throughput + high-throughput,Western blot;RNA-seq;qPCR;ATAC-seq;ChIP-seq;Gene knock down;Immunohistochemistry;Microscopic observation,ETV4 Is Necessary for Estrogen Signaling and Growth in Endometrial Cancer Cells,ETV4 is an important factor in controlling the activity of ER and the growth of endometrial cancer cells,EREG,CL_0001064
32060145,ATM,TFMarker,Fibroblast cell,Cancer cell,Breast,low-throughput + high-throughput,RNA-seq;Gene knock down;qRT-PCR;ATAC-seq,ATM Paradoxically Promotes Oncogenic Transformation via Transcriptional  Reprogramming,"Findings uncover a novel pro-oncogenic role for ATM and show that contrary to established theory, ATM does not always function as a tumor suppressor, its function is however dependent  on cell type",,CL_0000057
32066800,PDCD4,TFMarker,Epithelial cell,Cancer cell,Epithelium,low-throughput + high-throughput,Gene knock down;Flow-throughput cytometry;Weston blot;RNA-seq;qRT-PCR,PDCD4 controls the G1/S-phase  transition in a telomerase-immortalized epithelial cell line  and afects the expression level and  translation of multiple mRNAs,"PDCD4, the protein encoded by the tumor suppressor gene PDCD4 (programmed cell death 4) has been implicated in the control of cellular transcription and translation by modulating the activity of specific transcription factors and suppressing the translation of mRNAs with structured 5 -UTRs.",TP53,CL_0000066
32081850,KLF5,TFMarker,Basal cell,Cancer cell,Prostate,low-throughput,Immunofluorescent staining;Weston blot;Gene knock down;Immunohistochemistry;RT-PCR;Flow-throughput cytometry;qPCR;Microscopic observation,Klf5 acetylation regulates luminal differentiation of basal progenitors in prostate development and regeneration,Klf5 and its acetylation thus contribute to postnatal prostate development and regeneration by controlling basal progenitor cell fate.,,CL_0000646
32081850,KLF5,TFMarker,Basal cell,Cancer cell,Prostate,low-throughput,Immunofluorescent staining;Weston blot;Gene knock down;Immunohistochemistry;RT-PCR;Flow-throughput cytometry;qPCR;Microscopic observation,Klf5 acetylation regulates luminal differentiation of basal progenitors in prostate development and regeneration,KLF5 deacetylation activates Notch signaling. Klf5 and its acetylation thus contribute to postnatal prostate development and regeneration by controlling basal progenitor cell fate.,,CL_0000646
32092599,KLF7,TFMarker,Lung carcinoma cell,Cancer cell,Lung,low-throughput,Immunohistochemistry staining;RT-PCR;Immunofluorescent staining;qPCR,High Expression of Kru¨ ppel-like Factor 7 Indicates Unfavorable Clinical Outcomes in Patients with Lung Adenocarcinoma,"Krüppel-like factor 7 (KLF7), which belongs to the KLF family of zinc finger transcription factors, plays a critical role in regulating gene expression.",POU5F1;SOX2,CL_0001064
32092599,KLF7,TFMarker,Lung carcinoma cell,Cancer cell,Lung,low-throughput,Immunohistochemistry staining;RT-PCR;Immunofluorescent staining;qPCR,High Expression of Kru¨ ppel-like Factor 7 Indicates Unfavorable Clinical Outcomes in Patients with Lung Adenocarcinoma,"Krüppel-like factor 7 (KLF7), which belongs to the KLF family of zinc finger transcription factors, plays a critical role in regulating gene expression.KLF7 may serve as a new prognostic biomarker and therapeutic target.",,CL_0001064
32094299,FOXO1,TFMarker,Glial cell,Cancer cell,Brain,low-throughput + high-throughput,RNA-seq;Western blot;Microscopic observation;qRT-PCR;CHIP-PCR,A Sox2/miR-486-5p axis regulates survival of GBM cells by inhibiting tumor suppressor networks,miR-486-5p as a Sox2-induced miRNA that targets the tumor suppressor genes PTEN and FoxO1 and regulates the GBM stem-like cells.,MIR486-1,CL_0000125
32102563,SNAI1,TFMarker,Periodontal ligament carcinoma cell,Cancer cell,Periodontal ligament,low-throughput + high-throughput,RNA-seq;RT-PCR;Weston blot;Microscopic observation,Long non-coding RNA TIRY promotes tumor metastasis by enhancing epithelial-to-mesenchymal transition in oral cancer,"Transcription factors (SNAI1 and FOXC2) and cellular scaffold proteins (a-SMA, b-catenin and FSP1) are EMT markers",FOXC2,CL_0001064
32102563,FOXC2,TFMarker,Periodontal ligament carcinoma cell,Cancer cell,Periodontal ligament,low-throughput + high-throughput,RNA-seq;RT-PCR;Weston blot;Microscopic observation,Long non-coding RNA TIRY promotes tumor metastasis by enhancing epithelial-to-mesenchymal transition in oral cancer,"Transcription factors (SNAI1 and FOXC2) and cellular scaffold proteins (a-SMA, b-catenin and FSP1) are EMT markers",SNAI1,CL_0001064
32102563,SNAI1,TFMarker,Periodontal ligament carcinoma cell,Cancer cell,Periodontal ligament,low-throughput + high-throughput,RNA-seq;RT-PCR;Weston blot;Microscopic observation,Long non-coding RNA TIRY promotes tumor metastasis by enhancing epithelial-to-mesenchymal transition in oral cancer,"Transcription factors (Snail and FoxC2) and cellular scaffold proteins (a-SMA, b-catenin and FSP1) are EMT markers",FOXC2,CL_0001064
32102563,FOXC2,TFMarker,Periodontal ligament carcinoma cell,Cancer cell,Periodontal ligament,low-throughput + high-throughput,RNA-seq;RT-PCR;Weston blot;Microscopic observation,Long non-coding RNA TIRY promotes tumor metastasis by enhancing epithelial-to-mesenchymal transition in oral cancer,"Transcription factors (Snail and FoxC2) and cellular scaffold proteins (a-SMA, b-catenin and FSP1) are EMT markers",SNAI1,CL_0001064
32118626,INSM1,TFMarker,Lung carcinoma cell,Cancer cell,Lung,low-throughput,Microscopic observation,"Insulinoma-associated Protein 1 (INSM1) Is a Better Marker for the Diagnosis and Prognosis Estimation of Small Cell Lung Carcinoma Than Neuroendocrine Phenotype Markers Such as Chromogranin A, Synaptophysin, and CD56",Insulinoma-associated protein 1 (INSM1) is a transcription factor for NE differentiation and has emerged as a single practical marker for SCLC.,NCAM1,CL_0001064
32132238,TEAD1,TFMarker,Cervix carcinoma cell,Cancer cell,Uterus,low-throughput,RT-qPCR;Gene knock down;Western blot,The Transcriptional Cofactor VGLL1 Drives Transcription of Human Papillomavirus Early Genes via TEAD1,"TEAD1 is known to activate the early promoter of human papillomavirus (HPV), which is regulated by the transcription factor VGLL1, and thus affects Cervix carcinoma cells",VGLL1,
32132611,AHR,TFMarker,Breast cancer cell,Cancer cell,Breast,low-throughput,Western blot;qRT-PCR,Indirect regulation of TFPI-2 expression by miR-494 in breast cancer cells,AHR and ELF-1 are transcription factors in Breast cancer cell.,ELF1,
32132611,ELF1,TFMarker,Breast cancer cell,Cancer cell,Breast,low-throughput,Western blot;qRT-PCR,Indirect regulation of TFPI-2 expression by miR-494 in breast cancer cells,AHR and ELF-1 are transcription factors in Breast cancer cell.,AHR,
32133495,TP53,TFMarker,Stem cell,Cancer cell,Lung,low-throughput + high-throughput,qPCR;qRT-PCR;CLIP-Seq;Western blot;RNA-seq,Locally acting transcription factors regulate p53-dependent cis-regulatory element activity,p53 is a transcription factor in Cancer cell.,,CL_0000034
32195335,SATB1,TFMarker,Hybridoma cell,Cancer cell,Lung,low-throughput + high-throughput,Weston blot;ChIP-seq;Immunofluorescent staining;Gene knock down;CHIP-qPCR;Flow-throughput cytometry,"An array of 60,000 antibodies for proteome-scale  antibody generation and target discovery","ChIP-seq assays in HepG2 for antibodies against SMRC1, SATB1, and NFIC were carried out following previous studies.",CD44,
32195335,NFIC,TFMarker,Hybridoma cell,Cancer cell,Lung,low-throughput + high-throughput,Weston blot;ChIP-seq;Immunofluorescent staining;Gene knock down;CHIP-qPCR;Flow-throughput cytometry,"An array of 60,000 antibodies for proteome-scale  antibody generation and target discovery","ChIP-seq assays in HepG2 for antibodies against SMRC1, SATB1, and NFIC were carried out following previous studies.",CD44,
32197643,RUNX1,TFMarker,Neuroblast cell,Cancer cell,Nerve,low-throughput,Weston blot;Immunofluorescent staining;mmunohistochemistry;Flow-throughput cytometry;qRT-PCR,Runt-related transcription factor 1 promotes apoptosis and inhibits neuroblastoma progression in vitro and in vivo,"RUNX1 was highly expressed in ganglioneuroma (GN) and well-differentiated (WD) tissues relative to the poorly differentiated (PD) and undifferentiated (UD) ones. Moreover, RUNX1 effectively reduced cell viability, invasion, metastasis, angiogenesis, and promoted apoptosis in vitro and in vivo. RUNX1 reduced BIRC5 transcription and increased CSF2RB and NFKBIA transcription by directly binding BIRC5, CSF2RB and NFKBIA promoters. In addition, cytotoxic drugs, especially cisplatin, significantly increased RUNX1 expression in NB cells and promoted apoptosis and RUNX1 is an independent surrogate marker for the progression of NB",CSF2RB;NFKBIA;BIRC5,
32197643,RUNX1,TFMarker,Nerve carcinoma cell,Cancer cell,Nerve,low-throughput,Weston blot;Immunofluorescent staining;mmunohistochemistry;Flow-throughput cytometry;qRT-PCR,Runt-related transcription factor 1 promotes apoptosis and inhibits neuroblastoma progression in vitro and in vivo,"RUNX1 was highly expressed in ganglioneuroma (GN) and well-differentiated (WD) tissues relative to the poorly differentiated (PD) and undifferentiated (UD) ones. Moreover, RUNX1 effectively reduced cell viability, invasion, metastasis, angiogenesis, and promoted apoptosis in vitro and in vivo. RUNX1 reduced BIRC5 transcription and increased CSF2RB and NFKBIA transcription by directly binding BIRC5, CSF2RB and NFKBIA promoters. In addition, cytotoxic drugs, especially cisplatin, significantly increased RUNX1 expression in NB cells and promoted apoptosis and RUNX1 is an independent surrogate marker for the progression of NB",CSF2RB;NFKBIA;BIRC5,CL_0001064
32311348,POU5F1,TFMarker,Embryonal carcinoma cell,Cancer cell,Embryo,low-throughput + high-throughput,Western blot;RT-PCR;Weston blot;Immunofluorescent staining;Microscopic observation,Ethyl-p-methoxycinnamate enhances oct4 expression and reinforces pluripotency through the NF-κB signaling pathway,Octamer binding transcription factor -4 (OCT4) plays a key role in maintaining pluripotency.,,
32318691,TGFB1,TFMarker,Liver carcinoma cell,Cancer cell,Liver,low-throughput,Immunofluorescent staining;Microscopic observation;qPCR,KLF2 inhibits TGF-β-mediated cancer cell motility in hepatocellular carcinoma,TGFB1 mediated upregulation of MMP2 and stable KLF2 expression in HCCLM3 cells attenuated TGFB1 induced cancer cell movement during wound healing and Transwell detection.,KLF2,CL_0001064
32318691,KLF2,TFMarker,Liver carcinoma cell,Cancer cell,Liver,low-throughput,Immunofluorescent staining;Microscopic observation;qPCR,KLF2 inhibits TGF-β-mediated cancer cell motility in hepatocellular carcinoma,"KLF2, a member of the Krüppel-like factor (KLF) family transcription factors, has been implicated in impeding hepatocellular carcinoma (HCC) development. KLF2 protein has a tumor-suppressive function in HCC through a negative feedback loop over TGF-β signaling",TGFB1,CL_0001064
32341035,SIX1,TFMarker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,RNA-seq;Survival analysis;Immunohistochemistry;Weston blot;Microscopic observation,A SIX1/EYA2 small molecule inhibitor disrupts EMT and metastasis,SIX1/EYA2 complex and associated phenotypes is sufficient to suppress breast cancer metastasis.,EYA2,CL_0000034
32341035,SIX1,TFMarker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,RNA-seq;Survival analysis;Immunohistochemistry;Weston blot;Microscopic observation,A SIX1/EYA2 small molecule inhibitor disrupts EMT and metastasis,"SIX1 can induce metastasis via non-cell autonomous means, including activation of GLI-signaling in neighboring tumor cells and activation of VEGF-C-induced lymphangiogenesis",VEGFC;EYA2,CL_0000034
32349536,CXCL8,TFMarker,Cervix carcinoma cell,Cancer cell,Uterus,high-throughput,RNA-seq,Identification of miRNA-mRNA Regulatory Network and Construction of Prognostic Signature in Cervical Cancer,CXCL8 was highly expressed in cervical cancer and related to the malignant status and prognosis of cervical cancer.,PLAGL1;DSG2;ABCA8;APOBEC3B,
32360623,MTOR,TFMarker,Stomach carcinoma cell,Cancer cell,Stomach,low-throughput + high-throughput,RNA-Seq;Immunohistochemical staining;Microscopic observation,The comprehensive upstream transcription and downstream targeting regulation network of miRNAs reveal potential diagnostic roles in gastric cancer,"The mTOR, VEGF, and VEGFR signalingpathway are also important oncogenic processes in GC progres-sion",VEGFA,CL_0001064
32360623,VEGFA,TFMarker,Stomach carcinoma cell,Cancer cell,Stomach,low-throughput + high-throughput,RNA-Seq;Immunohistochemical staining;Microscopic observation,The comprehensive upstream transcription and downstream targeting regulation network of miRNAs reveal potential diagnostic roles in gastric cancer,"The mTOR, VEGF, and VEGFR signalingpathway are also important oncogenic processes in GC progres-sion",MTOR,CL_0001064
32376680,RNF220,TFMarker,Medulloblastoma cell,Cancer cell,Nerve,low-throughput + high-throughput,ChIP-qPCR;Western blot;Immunofluorescence staining;Immunohistochemistry;RT-PCR;RNA-seq;Microscopic observation,RNF220 is required for cerebellum development and regulate medulloblastoma progression through epigenetic modulation of Shh signaling,RNF220 as a potential new diagnostic marker and therapeutic target for Shh-group MB.,,
32376680,RNF220,TFMarker,Cerebellar granule neuron progenitors cell,Cancer cell,Nerve,low-throughput + high-throughput,ChIP-qPCR;Western blot;Immunofluorescence staining;Immunohistochemistry;RT-PCR;RNA-seq;Microscopic observation,RNF220 is required for cerebellum development and regulate medulloblastoma progression through epigenetic modulation of Shh signaling,RNF220 as a potential new diagnostic marker and therapeutic target for Shh-group MB.,,
32376680,RNF220,TFMarker,Cerebellar cancer medulloblastoma cell,Cancer cell,Nerve,low-throughput + high-throughput,ChIP-qPCR;Western blot;Immunofluorescence staining;Immunohistochemistry;RT-PCR;RNA-seq;Microscopic observation,RNF220 is required for cerebellum development and regulate medulloblastoma progression through epigenetic modulation of Shh signaling,RNF220 as a potential new diagnostic marker and therapeutic target for Shh-group MB.,,
32377817,IRF1,TFMarker,Lung carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,RT‑PCR;Immunofuorescent staining;Western blot;qPCR;DNA-seq,Interferon regulatory factor 1 (IRF‑1) and IRF‑2 regulate PD‑L1 expression in hepatocellular carcinoma (HCC) cells,"Complex role of IRF-1 in up-regulation of PD-L1 in inflammatory tumor microenvironment.IRF-1 antagonizes IRF-2 binding to the IRE promoter element of PD-L1, which provides a new perspective for the regulation of PD-L1/PD-1 pathway in HCC ICB therapy.",CD274,CL_0001064
32377817,IRF1,TFMarker,Lung Carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,RT‑PCR;Immunofuorescent staining;Western blot;qPCR;DNA-seq,Interferon regulatory factor 1 (IRF‑1) and IRF‑2 regulate PD‑L1 expression in hepatocellular carcinoma (HCC) cells,"Complex role of IRF-1 in up-regulation of PD-L1 in inflammatory tumor microenvironment.IRF-1 antagonizes IRF-2 binding to the IRE promoter element of PD-L1, which provides a new perspective for the regulation of PD-L1/PD-1 pathway in HCC ICB therapy.",CD274,
32377817,IRF2,TFMarker,Lung carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,RT‑PCR;Immunofuorescent staining;Western blot;qPCR;DNA-seq,Interferon regulatory factor 1 (IRF‑1) and IRF‑2 regulate PD‑L1 expression in hepatocellular carcinoma (HCC) cells,"Complex role of IRF-1 in up-regulation of PD-L1 in inflammatory tumor microenvironment.IRF-1 antagonizes IRF-2 binding to the IRE promoter element of PD-L1, which provides a new perspective for the regulation of PD-L1/PD-1 pathway in HCC ICB therapy.IRF-2 over-expression down-regulates IFN-γ induced PD-L1 promoter activity and protein levels in a dose-dependent manner",CD274,CL_0001064
32377817,IRF2,TFMarker,Lung Carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,RT‑PCR;Immunofuorescent staining;Western blot;qPCR;DNA-seq,Interferon regulatory factor 1 (IRF‑1) and IRF‑2 regulate PD‑L1 expression in hepatocellular carcinoma (HCC) cells,"Complex role of IRF-1 in up-regulation of PD-L1 in inflammatory tumor microenvironment.IRF-1 antagonizes IRF-2 binding to the IRE promoter element of PD-L1, which provides a new perspective for the regulation of PD-L1/PD-1 pathway in HCC ICB therapy.IRF-2 over-expression down-regulates IFN-γ induced PD-L1 promoter activity and protein levels in a dose-dependent manner",CD274,
32385160,ZBED2,TFMarker,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,Western blot;Gene knock down;ChIP-seq;NTSYS-pc;RNA-seq;RT-qPCR,ZBED2 is an antagonist of interferon regulatory factor 1 and modifies cell identity in pancreatic cancer,"ZBED2 can repress the pancreatic progenitor transcriptional program, enhance motility, and promote invasion in PDA cells. ",IRF1,
32385160,IRF1,TFMarker,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,Western blot;Gene knock down;ChIP-seq;NTSYS-pc;RNA-seq;RT-qPCR,ZBED2 is an antagonist of interferon regulatory factor 1 and modifies cell identity in pancreatic cancer,ZBED2 occurs through transcriptional activation of cocoon-like promoter elements mediated by anti-IFN regulatory factor 1 (IRF1),ZBED2,
32387119,BCL2L12,TFMarker,Chronic myelogenous leukemia cell,Cancer cell,Blood,low-throughput + high-throughput,RT-PCR;Western blot,"Complex transcriptional regulation of the BCL2L12 gene: Novel, active promoter in K562 cells","The BCL2L12, one of the latest discovered members of the BCL2 family, has both pro- and anti-apoptotic rolesthat are cell-type-dependent.",GATA1;SP1,
32406922,ZFX,TFMarker,Embryonic cell,Cancer cell,Prostate,low-throughput + high-throughput,ChIP-seq;RNA-seq;Weston blot;RT-qPCR;Flow-throughput cytometry,Characterization of the ZFX family of transcription factors that bind downstream of the start site of CpG island promoters,"Transcriptional regulatory factors ZFX, ZFY and ZNF711 constitute the human C2H2 zinc finger protein family.",ZFY;ZNF711,
32406922,ZFY,TFMarker,Embryonic cell,Cancer cell,Prostate,low-throughput + high-throughput,ChIP-seq;RNA-seq;Weston blot;RT-qPCR;Flow-throughput cytometry,Characterization of the ZFX family of transcription factors that bind downstream of the start site of CpG island promoters,"Transcriptional regulatory factors ZFX, ZFY and ZNF711 constitute the human C2H2 zinc finger protein family.",ZFX;ZNF711,
32406922,ZNF711,TFMarker,Embryonic cell,Cancer cell,Prostate,low-throughput + high-throughput,ChIP-seq;RNA-seq;Weston blot;RT-qPCR;Flow-throughput cytometry,Characterization of the ZFX family of transcription factors that bind downstream of the start site of CpG island promoters,"Transcriptional regulatory factors ZFX, ZFY and ZNF711 constitute the human C2H2 zinc finger protein family.",ZFX;ZFY,
32406922,ZFX,TFMarker,Dental follicle cell,Cancer cell,Prostate,low-throughput + high-throughput,ChIP-seq;RNA-seq;Weston blot;RT-qPCR;Flow-throughput cytometry,Characterization of the ZFX family of transcription factors that bind downstream of the start site of CpG island promoters,"Both ZFX and ZNF711 deletion can inhibit cell growth, and the double knockout cells have major defects in proliferation.",ZNF711,
32406922,ZFY,TFMarker,Odontoblast cell,Cancer cell,Prostate,low-throughput + high-throughput,ChIP-seq;RNA-seq;Weston blot;RT-qPCR;Flow-throughput cytometry,Characterization of the ZFX family of transcription factors that bind downstream of the start site of CpG island promoters,"The human C2H2 zinc finger protein family consists of ZFX, ZFY and ZnF711.ZFX, ZFY and ZNF711 are transcriptional regulators",ZNF711,
32406922,ZNF711,TFMarker,T cell,Cancer cell,Prostate,low-throughput + high-throughput,ChIP-seq;RNA-seq;Weston blot;RT-qPCR;Flow-throughput cytometry,Characterization of the ZFX family of transcription factors that bind downstream of the start site of CpG island promoters,"Both ZFX and ZNF711 deletion can inhibit cell growth, and the double knockout cells have major defects in proliferation.",ZFY,CL_0000084
32415069,SOX6,TFMarker,Stem cell,Cancer cell,Bone,low-throughput + high-throughput,Immunohistochemistry;Gene knock down;qRT-PCR;Western blot;Microscopic observation;ChIP-seq;RT-PCR,Oncogenic hijacking of a developmental transcription factor evokes vulnerability toward oxidative stress in Ewing sarcoma,SOX6 is a physiological driver of the proliferation of osteochondrogenic progenitor cells and promotes the growth of EWS in vitro and in vivo.,EWSR1,CL_0000034
32415069,EWSR1,TFMarker,Stem cell,Cancer cell,Bone,low-throughput + high-throughput,Immunohistochemistry;Gene knock down;qRT-PCR;Western blot;Microscopic observation;ChIP-seq;RT-PCR,Oncogenic hijacking of a developmental transcription factor evokes vulnerability toward oxidative stress in Ewing sarcoma,"The transcription factor EWSR1 is abnormally activated by a dominant oncogene and promotes malignant tumor growth, and is also a therapeutic target",SOX6,CL_0000034
32673341,NANOG,TFMarker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,qRT-PCR;Western blot;Flow cytometry;Immunohistochemistry;Microscopic observation,c-Src functionality controls self-renewal and glucose metabolism in MCF7 breast cancer stem cells,"Stem-cell marker expression (NANOG, OCT3-4, ALDH1, CD44)in Breast cancer stem cell.",ALDH1A1;CD44,CL_0000034
32673341,POU5F1,TFMarker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,qRT-PCR;Western blot;Flow cytometry;Immunohistochemistry;Microscopic observation,c-Src functionality controls self-renewal and glucose metabolism in MCF7 breast cancer stem cells,"Stem-cell marker expression (NANOG, OCT3-4, ALDH1, CD44)in Breast cancer stem cell.",ALDH1A1;NANOG;CD44,CL_0000034
2784484,HPRT1,TFMarker,T stem cell,Normal cell,Peripheral blood,low-throughput,Western blot,Cloning of phenotypically different human lymphocytes originating from a single stem cell,The use of HPRT gene alterations as specific cellular markers provides a novel method for identifying stem cells in the lymphocyte lineage and for studying lymphocyte differentiation in humans.,,
7512306,CD44,TFMarker,Bone cell,Normal cell,Bone,low-throughput,Immunohistochemistry;Microscopic observation,CD44 expression in human bone: a novel marker of osteocytic differentiation,These results demonstrate that acquisition of CD44 immunoreactivity is a sensitive marker of osteocytic differentiation and raise the possibility that CD44 acts as a cell matrix receptor in bone.,,CL_0000137
7550312,GATA1,TFMarker,Stem cell,Normal cell,Liver,low-throughput,Weston blot;Microscopic observation;Southern blot;Histological analysis,Targeted disruption of the GATA3 gene causes severe abnormalities in the nervous system and in fetal liver haematopoiesis,"Transcription factors GATA1, GATA2 and GATA3 are expressed in embryonic stem cells and can affect the hematopoietic function of fetal liver.",GATA2;GATA3,CL_0000034
7550312,GATA2,TFMarker,Stem cell,Normal cell,Liver,low-throughput,Weston blot;Microscopic observation;Southern blot;Histological analysis,Targeted disruption of the GATA3 gene causes severe abnormalities in the nervous system and in fetal liver haematopoiesis,"Transcription factors GATA1, GATA2 and GATA3 are expressed in embryonic stem cells and can affect the hematopoietic function of fetal liver.",GATA1;GATA3,CL_0000034
7550312,GATA3,TFMarker,Stem cell,Normal cell,Liver,low-throughput,Weston blot;Microscopic observation;Southern blot;Histological analysis,Targeted disruption of the GATA3 gene causes severe abnormalities in the nervous system and in fetal liver haematopoiesis,"Transcription factors GATA1, GATA2 and GATA3 are expressed in embryonic stem cells and can affect the hematopoietic function of fetal liver.",GATA2;GATA1,CL_0000034
7976483,FOS,TFMarker,Nerve cell,Normal cell,Nerve,low-throughput,Western blot,Rapid response genes as markers of cellular signaling during cortical histogenesis: their potential in understanding mental retardation,"c-FOS is a type of ""immediate early gene"" (IEGs) that is usually expressed at relatively high levels in cortical neurons during postnatal development and is rapidly regulated by natural activity.",COX2;JUNB,CL_0002319
7976483,JUNB,TFMarker,Nerve cell,Normal cell,Nerve,low-throughput,Western blot,Rapid response genes as markers of cellular signaling during cortical histogenesis: their potential in understanding mental retardation,"JUNB is a type of ""immediate early gene"" (IEGs) that is usually expressed at relatively high levels in cortical neurons during postnatal development and is rapidly regulated by natural activity.",COX2;FOS,CL_0002319
7976483,COX2,TFMarker,Nerve cell,Normal cell,Nerve,low-throughput,Western blot,Rapid response genes as markers of cellular signaling during cortical histogenesis: their potential in understanding mental retardation,"COX-2 is a type of ""immediate early gene"" (IEGs) that is usually expressed at relatively high levels in cortical neurons during postnatal development and is rapidly regulated by natural activity",JUNB;FOS,CL_0002319
9263997,LAP,TFMarker,Epithelial cell,Normal cell,Kidney,low-throughput,Immunohistochemistry;Flow cytometry;Microscopic observation,"Immunodissection of the human proximal nephron: flow sorting of S1S2S3, S1S2 and S3 proximal tubular cells","Labeling cells for expression of LAP, NEP or DPPIV resulted in high yields of specifically labeled PTC (S1S2S3 origin). Labeling with anti-LAP resulted in the clearest distinction between positive and negative cell subpopulations, and therefore LAP was considered the best PTC marker for use in FACS.",DDR1;DPP4,CL_0000066
10451496,TGFB1,TFMarker,Glomerular mesangial cell,Normal cell,Kidney,low-throughput,Immunohistochemistry;Microscopic observation,CD34 expression as a novel marker of transformed mesangial cells in biopsied glomerular diseases,"When activated in the presence of liver damage, HSCs release cytokines, primarily transforming growth factor-b (TGF-B), and transform into myofibroblasts lacking fat droplets, which produce collagen and promote liver fibrosis.",CD34,
10595912,SYP,TFMarker,Liver cell,Normal cell,Liver,low-throughput + high-throughput,Immunohistochemistry;RT-PCR;Microscopic observation;Western blot;Immunofluorescent staining;DNA-seq,Synaptophysin: A novel marker for human and rat hepatic stellate cells ,Synaptophysin is a protein involved in neurotransmitter exocytosis and is a neuroendocrine marker.,,CL_0000182
10751340,CEACAM1,TFMarker,Cytotrophoblast cell,Normal cell,Uterus,low-throughput,Flow cytometry;Western blot;Immunohistochemistry;Microscopic observation,"The adhesion molecule CEACAM1 (CD66a, C-CAM, BGP) is specifically expressed by the extravillous intermediate trophoblast","We conclude that, given its specific expression pattern, CEACAM1 can be a useful marker for extravillous intermediate trophoblast and might be functionally implicated in mediating trophoblast/endometrial and/or trophoblast/endothelial interactions during the trophoblastic invasion of the endometrium.",CEACAM1,
11466339,IL18,TFMarker,T cell,Normal cell,Lymph,low-throughput,Flow-throughput cytometry;RT-PCR,Human IL-18 receptor and ST2L are stable and selective markers for the respective type 1 and type 2 circulating lymphocytes,"ST2L and IL-18R are stable selective cell surface markers for human Th2/Tc2/NK2 and Th1/Tc1/NK1 lymphocytes, respectively.",IL1RL1,CL_0000084
