Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand MGI ID,Receptor MGI ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Human Ligand Symbols,Human Receptor Symbols,Ligand Location,Receptor Location
CDB20:0002821,Lgi3 Adam23,Lgi3,Adam23,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Lgi3%20Adam23-based-on-Pubmed-ID-20220021,%2022405860,%2038194969-in-mouse",Lgi3,Adam23 (MDC3),MGI:2182619,MGI:1345162,ENSMUSG00000033595,ENSMUSG00000025964,LGI3,ADAM23 (MDC3),secreted,cell membrane
CDB20:0002822,Lgi4 Adam11,Lgi4,Adam11,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Lgi4%20Adam11-based-on-Pubmed-ID-18974846,%2020220021-in-mouse",Lgi4 (clp),Adam11 (Mdc),MGI:2180197,MGI:1098667,ENSMUSG00000036560,ENSMUSG00000020926,LGI4,ADAM11 (MDC),secreted,cell membrane
CDB20:0002823,Lgi4 Adam22,Lgi4,Adam22,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Lgi4%20Adam22-based-on-Pubmed-ID-18974846,%2020220021-in-mouse",Lgi4 (clp),"Adam22 (MDC2, 2900022I03Rik)",MGI:2180197,MGI:1340046,ENSMUSG00000036560,ENSMUSG00000040537,LGI4,ADAM22 (MDC2),secreted,cell membrane
CDB20:0002824,Lgi4 Adam23,Lgi4,Adam23,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Lgi4%20Adam23-based-on-Pubmed-ID-18974846,%2020220021-in-mouse",Lgi4 (clp),Adam23 (MDC3),MGI:2180197,MGI:1345162,ENSMUSG00000036560,ENSMUSG00000025964,LGI4,ADAM23 (MDC3),secreted,cell membrane
CDB20:0002825,Lrfn3 Lrfn3,Lrfn3,Lrfn3,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Lrfn3%20Lrfn3-based-on-Pubmed-ID-18227064-in-mouse,"Lrfn3 (A530045B06Rik, SALM4)","Lrfn3 (A530045B06Rik, SALM4)",MGI:2442512,MGI:2442512,ENSMUSG00000036957,ENSMUSG00000036957,"LRFN3 (MGC2656, SALM4, FIGLER1)","LRFN3 (MGC2656, SALM4, FIGLER1)",cell membrane,cell membrane
CDB20:0002826,Lrfn5 Lrfn5,Lrfn5,Lrfn5,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Lrfn5%20Lrfn5-based-on-Pubmed-ID-18227064-in-mouse,Lrfn5,Lrfn5,MGI:2144814,MGI:2144814,ENSMUSG00000035653,ENSMUSG00000035653,"LRFN5 (C14orf146, FIGLER8, SALM5)","LRFN5 (C14orf146, FIGLER8, SALM5)",cell membrane,cell membrane
CDB20:0002827,Lrrc4b Ptprd,Lrrc4b,Ptprd,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Lrrc4b%20Ptprd-based-on-Pubmed-ID-20139422,%2023345436-in-mouse","Lrrc4b (Lrig4, NGL-3, Ngl3)","Ptprd (3000002J10Rik, B230219D21Rik, 1110002J03Rik)",MGI:3027390,MGI:97812,ENSMUSG00000047085,ENSMUSG00000028399,"LRRC4B (LRIG4, DKFZp761A179, HSM, NGL-3)","PTPRD (PTPD, HPTP)",cell membrane,cell membrane
CDB20:0002828,Lrrc4b Ptprf,Lrrc4b,Ptprf,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Lrrc4b%20Ptprf-based-on-Pubmed-ID-19252495,%2020139422,%2023345436-in-mouse","Lrrc4b (Lrig4, NGL-3, Ngl3)","Ptprf (LAR, RPTP-LAR)",MGI:3027390,MGI:102695,ENSMUSG00000047085,ENSMUSG00000033295,"LRRC4B (LRIG4, DKFZp761A179, HSM, NGL-3)",PTPRF (LAR),cell membrane,cell membrane
CDB20:0002829,Lrrc4b Ptprs,Lrrc4b,Ptprs,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Lrrc4b%20Ptprs-based-on-Pubmed-ID-20139422,%2023345436,%2029934346-in-mouse","Lrrc4b (Lrig4, NGL-3, Ngl3)","Ptprs (PTP-NU3, PTPsigma, RPTPsigma, Ptpt9)",MGI:3027390,MGI:97815,ENSMUSG00000047085,ENSMUSG00000013236,"LRRC4B (LRIG4, DKFZp761A179, HSM, NGL-3)","PTPRS (PTPsigma, PTP-sigma)",cell membrane,cell membrane
CDB20:0002830,Ly9 Ly9,Ly9,Ly9,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Ly9%20Ly9-based-on-Pubmed-ID-15905546-in-mouse,"Ly9 (T100, Lgp100, CD229, SLAMF3)","Ly9 (T100, Lgp100, CD229, SLAMF3)",MGI:96885,MGI:96885,ENSMUSG00000004707,ENSMUSG00000004707,"LY9 (CD229, mLY9, SLAMF3, hly9)","LY9 (CD229, mLY9, SLAMF3, hly9)","secreted, cell membrane",cell membrane
CDB20:0002831,Mcam Mcam,Mcam,Mcam,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Mcam%20Mcam-based-on-Pubmed-ID-17982057-in-mouse,"Mcam (s-endo, CD146, s-gicerin, 1-gicerin, Muc18)","Mcam (s-endo, CD146, s-gicerin, 1-gicerin, Muc18)",MGI:1933966,MGI:1933966,ENSMUSG00000032135,ENSMUSG00000032135,"MCAM (MUC18, CD146, MelCAM, METCAM, HEMCAM)","MCAM (MUC18, CD146, MelCAM, METCAM, HEMCAM)",cell membrane,cell membrane
CDB20:0002832,Mdk Notch2,Mdk,Notch2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Mdk%20Notch2-based-on-Pubmed-ID-18469519-in-mouse,"Mdk (MK, Mek)","Notch2 (Motch B, N2)",MGI:96949,MGI:97364,ENSMUSG00000027239,ENSMUSG00000027878,"MDK (NEGF2, MK, FLJ27379)",NOTCH2,secreted,cell membrane
CDB20:0002835,Mif Cd74,Mif,Cd74,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Mif%20Cd74-based-on-Pubmed-ID-12782713,%2026039541-in-mouse",Mif (Glif),"Cd74 (CLIP, Ii)",MGI:96982,MGI:96534,ENSMUSG00000033307,ENSMUSG00000024610,"MIF (GLIF, GIF)","CD74 (DHLAG, CLIP)",secreted,cell membrane
CDB20:0002836,Mif Cxcr2,Mif,Cxcr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Mif%20Cxcr2-based-on-Pubmed-ID-17435771-in-mouse,Mif (Glif),"Cxcr2 (CD128, IL-8Rh, IL-8rb, Gpcr16, IL8RA, Cmkar2, Il8rb)",MGI:96982,MGI:105303,ENSMUSG00000033307,ENSMUSG00000026180,"MIF (GLIF, GIF)","CXCR2 (IL8RB, CMKAR2, CD182)",secreted,cell membrane
CDB20:0002837,Mif Cxcr4,Mif,Cxcr4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Mif%20Cxcr4-based-on-Pubmed-ID-17435771-in-mouse,Mif (Glif),"Cxcr4 (PB-CKR, fusin, CD184, Cmkar4, Sdf1r, b2b220Clo)",MGI:96982,MGI:109563,ENSMUSG00000033307,ENSMUSG00000045382,"MIF (GLIF, GIF)","CXCR4 (LESTR, NPY3R, HM89, NPYY3R, D2S201E, fusin, HSY3RR, NPYR, CD184)",secreted,cell membrane
CDB20:0002838,Mmrn2 Cd248,Mmrn2,Cd248,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Mmrn2%20Cd248-based-on-Pubmed-ID-28671670-in-mouse,"Mmrn2 (EndoGlyx-1, ENDOGLYX1, Emilin3)","Cd248 (2610111G01Rik, Tem1, Cd164l1)",MGI:2385618,MGI:1917695,ENSMUSG00000041445,ENSMUSG00000056481,"MMRN2 (EMILIN3, EndoGlyx-1, FLJ13465)","CD248 (CD164L1, TEM1)",secreted,cell membrane
CDB20:0002839,Mmrn2 Cd93,Mmrn2,Cd93,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Mmrn2%20Cd93-based-on-Pubmed-ID-28671670,%2028912033-in-mouse","Mmrn2 (EndoGlyx-1, ENDOGLYX1, Emilin3)","Cd93 (AA4.1, C1qrp, Ly68, 6030404G09Rik, C1qr1)",MGI:2385618,MGI:106664,ENSMUSG00000041445,ENSMUSG00000027435,"MMRN2 (EMILIN3, EndoGlyx-1, FLJ13465)","CD93 (MXRA4, C1QR1, C1qRP, C1qR(P), dJ737E23.1, CDw93, ECSM3)",secreted,cell membrane
CDB20:0002840,Mmrn2 Clec14a,Mmrn2,Clec14a,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Mmrn2%20Clec14a-based-on-Pubmed-ID-28671670-in-mouse,"Mmrn2 (EndoGlyx-1, ENDOGLYX1, Emilin3)",Clec14a (1200003C23Rik),MGI:2385618,MGI:1914114,ENSMUSG00000041445,ENSMUSG00000045930,"MMRN2 (EMILIN3, EndoGlyx-1, FLJ13465)",CLEC14A (C14orf27),secreted,cell membrane
CDB20:0002841,Mrc1 Ptprc,Mrc1,Ptprc,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Mrc1%20Ptprc-based-on-Pubmed-ID-10575006-in-mouse,"Mrc1 (CD206, MR)","Ptprc (T200, B220, CD45, Lyt-4, Ly-5)",MGI:97142,MGI:97810,ENSMUSG00000026712,ENSMUSG00000026395,"MRC1 (MRC1L1, CLEC13D, CD206, bA541I19.1, CLEC13DL)","PTPRC (CD45, LCA, T200, GP180, LY5, B220, CD45R)",cell membrane,cell membrane
CDB20:0002842,Msmp Ccr2,Msmp,Ccr2,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Msmp%20Ccr2-based-on-Pubmed-ID-28698550-in-mouse,Msmp (OTTMUSG00000007017),"Ccr2 (CC-CKR-2, CKR2B, CKR2A, CCR2B, CCR2A, CKR2, Cmkbr2)",MGI:3652339,MGI:106185,ENSMUSG00000078719,ENSMUSG00000049103,"MSMP (PC-3, PSMP)","CCR2 (CMKBR2, CC-CKR-2, CKR2, MCP-1-R, CD192, FLJ78302)",secreted,cell membrane
CDB20:0002843,Muc1 Siglece,Muc1,Siglece,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Muc1%20Siglece-based-on-Pubmed-ID-27595232-in-mouse,"Muc1 (EMA, CD227, Muc-1)","Siglece (mSiglec-E, Siglecl1, Siglec5)",MGI:97231,MGI:1932475,ENSMUSG00000042784,ENSMUSG00000030474,"MUC1 (PUM, MCKD1, CD227, PEM, ADMCKD, ADMCKD1, MCKD, MCD, KL-6, EMA, Ca15-3)",SIGLEC9 (CD329),"secreted, cell membrane",cell membrane
CDB20:0002844,Myl9 Cd69,Myl9,Cd69,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Myl9%20Cd69-based-on-Pubmed-ID-28783682-in-mouse,"Myl9 (RLC-C, Mylc2c, MLC20)","Cd69 (VEA, AIM, 5830438K24Rik)",MGI:2138915,MGI:88343,ENSMUSG00000067818,ENSMUSG00000030156,"MYL9 (MYRL2, MLC2, LC20, MRLC1)",CD69 (CLEC2C),secreted,cell membrane
CDB20:0002846,Nectin1 Cadm3,Nectin1,Cadm3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nectin1%20Cadm3-based-on-Pubmed-ID-15741237-in-mouse,"Nectin1 (HIgR, HveC, PRR, PRR1, nectin-1, Cd111, Pvrl1)","Cadm3 (Tsll1, BIgR, Necl1, Necl-1, SynCAM3, Igsf4b)",MGI:1926483,MGI:2137858,ENSMUSG00000032012,ENSMUSG00000005338,"NECTIN1 (HVEC, ED4, PVRL1, PRR, PRR1, PVRR1, SK-12, HIgR, CLPED1, CD111, OFC7, Nectin-1)","CADM3 (IGSF4B, BIgR, FLJ10698, TSLL1, NECL1, SynCAM3, Necl-1)","secreted, cell membrane",cell membrane
CDB20:0002847,Nectin1 Cd96,Nectin1,Cd96,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nectin1%20Cd96-based-on-Pubmed-ID-17971293,%2030759143-in-mouse","Nectin1 (HIgR, HveC, PRR, PRR1, nectin-1, Cd111, Pvrl1)","Cd96 (Tactile, 1700109I12Rik)",MGI:1926483,MGI:1934368,ENSMUSG00000032012,ENSMUSG00000022657,"NECTIN1 (HVEC, ED4, PVRL1, PRR, PRR1, PVRR1, SK-12, HIgR, CLPED1, CD111, OFC7, Nectin-1)",CD96 (TACTILE),"secreted, cell membrane",cell membrane
CDB20:0002848,Nectin1 Nectin1,Nectin1,Nectin1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nectin1%20Nectin1-based-on-Pubmed-ID-12011057-in-mouse,"Nectin1 (HIgR, HveC, PRR, PRR1, nectin-1, Cd111, Pvrl1)","Nectin1 (HIgR, HveC, PRR, PRR1, nectin-1, Cd111, Pvrl1)",MGI:1926483,MGI:1926483,ENSMUSG00000032012,ENSMUSG00000032012,"NECTIN1 (HVEC, ED4, PVRL1, PRR, PRR1, PVRR1, SK-12, HIgR, CLPED1, CD111, OFC7, Nectin-1)","NECTIN1 (HVEC, ED4, PVRL1, PRR, PRR1, PVRR1, SK-12, HIgR, CLPED1, CD111, OFC7, Nectin-1)","secreted, cell membrane",cell membrane
CDB20:0002849,Nectin1 Nectin3,Nectin1,Nectin3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nectin1%20Nectin3-based-on-Pubmed-ID-11544254,%2012011057-in-mouse","Nectin1 (HIgR, HveC, PRR, PRR1, nectin-1, Cd111, Pvrl1)","Nectin3 (nectin-3, 4921513D19Rik, 2610301B19Rik, 3000002N23Rik, Pvrl3)",MGI:1926483,MGI:1930171,ENSMUSG00000032012,ENSMUSG00000022656,"NECTIN1 (HVEC, ED4, PVRL1, PRR, PRR1, PVRR1, SK-12, HIgR, CLPED1, CD111, OFC7, Nectin-1)","NECTIN3 (PVRL3, nectin-3, PPR3, PVRR3, DKFZP566B0846, CDw113, CD113)","secreted, cell membrane",cell membrane
CDB20:0002850,Nectin1 Nectin4,Nectin1,Nectin4,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nectin1%20Nectin4-based-on-Pubmed-ID-11544254,%2012011057-in-mouse","Nectin1 (HIgR, HveC, PRR, PRR1, nectin-1, Cd111, Pvrl1)","Nectin4 (nectin 4, Prr4, 1200017F15Rik, Pvrl4)",MGI:1926483,MGI:1918990,ENSMUSG00000032012,ENSMUSG00000006411,"NECTIN1 (HVEC, ED4, PVRL1, PRR, PRR1, PVRR1, SK-12, HIgR, CLPED1, CD111, OFC7, Nectin-1)","NECTIN4 (PVRL4, nectin-4, PRR4, LNIR)","secreted, cell membrane",cell membrane
CDB20:0002851,Nectin2 Cd226,Nectin2,Cd226,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nectin2%20Cd226-based-on-Pubmed-ID-15039383,%2015607800,%2030888046-in-mouse","Nectin2 (nectin-2, MPH, Cd112, Pvs, Pvrl2)","Cd226 (TLiSA1, DNAM-1, DNAM1, Pta1)",MGI:97822,MGI:3039602,ENSMUSG00000062300,ENSMUSG00000034028,"NECTIN2 (HVEB, PVRL2, PVRR2, PRR2, CD112, Nectin-2)","CD226 (DNAM-1, DNAM1, PTA1, TLiSA1)",cell membrane,cell membrane
CDB20:0002852,Nectin2 Pvrig,Nectin2,Pvrig,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nectin2%20Pvrig-based-on-Pubmed-ID-26755705,%2030659054,%2033147937-in-mouse","Nectin2 (nectin-2, MPH, Cd112, Pvs, Pvrl2)",Pvrig (Gm36869),MGI:97822,MGI:5596028,ENSMUSG00000062300,ENSMUSG00000109713,"NECTIN2 (HVEB, PVRL2, PVRR2, PRR2, CD112, Nectin-2)","PVRIG (MGC2463, C7orf15, CD112R)",cell membrane,cell membrane
CDB20:0002853,Nectin2 Tigit,Nectin2,Tigit,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nectin2%20Tigit-based-on-Pubmed-ID-19815499,%2028515320,%2037542773-in-mouse","Nectin2 (nectin-2, MPH, Cd112, Pvs, Pvrl2)","Tigit (ENSMUSG00000071552, Vstm3)",MGI:97822,MGI:3642260,ENSMUSG00000062300,ENSMUSG00000071552,"NECTIN2 (HVEB, PVRL2, PVRR2, PRR2, CD112, Nectin-2)","TIGIT (VSIG9, VSTM3, FLJ39873, DKFZp667A205)",cell membrane,cell membrane
CDB20:0002854,Nectin3 Cadm1,Nectin3,Cadm1,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nectin3%20Cadm1-based-on-Pubmed-ID-22703826-in-mouse,"Nectin3 (nectin-3, 4921513D19Rik, 2610301B19Rik, 3000002N23Rik, Pvrl3)","Cadm1 (3100001I08Rik, 2900073G06Rik, RA175N, RA175C, RA175B, RA175A, Necl2, SgIGSF, Tslc1, SynCam, Igsf4, Igsf4a)",MGI:1930171,MGI:1889272,ENSMUSG00000022656,ENSMUSG00000032076,"NECTIN3 (PVRL3, nectin-3, PPR3, PVRR3, DKFZP566B0846, CDw113, CD113)","CADM1 (TSLC1, IGSF4, NECL2, ST17, BL2, SYNCAM, IGSF4A, Necl-2, SYNCAM1, RA175)",cell membrane,cell membrane
CDB20:0002855,Nectin3 Cadm3,Nectin3,Cadm3,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nectin3%20Cadm3-based-on-Pubmed-ID-15741237-in-mouse,"Nectin3 (nectin-3, 4921513D19Rik, 2610301B19Rik, 3000002N23Rik, Pvrl3)","Cadm3 (Tsll1, BIgR, Necl1, Necl-1, SynCAM3, Igsf4b)",MGI:1930171,MGI:2137858,ENSMUSG00000022656,ENSMUSG00000005338,"NECTIN3 (PVRL3, nectin-3, PPR3, PVRR3, DKFZP566B0846, CDw113, CD113)","CADM3 (IGSF4B, BIgR, FLJ10698, TSLL1, NECL1, SynCAM3, Necl-1)",cell membrane,cell membrane
CDB20:0002856,Nectin4 Tigit,Nectin4,Tigit,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nectin4%20Tigit-based-on-Pubmed-ID-32503945,%2037542773-in-mouse","Nectin4 (nectin 4, Prr4, 1200017F15Rik, Pvrl4)","Tigit (ENSMUSG00000071552, Vstm3)",MGI:1918990,MGI:3642260,ENSMUSG00000006411,ENSMUSG00000071552,"NECTIN4 (PVRL4, nectin-4, PRR4, LNIR)","TIGIT (VSIG9, VSTM3, FLJ39873, DKFZp667A205)","secreted, cell membrane",cell membrane
CDB20:0002857,Nell2 Robo3,Nell2,Robo3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nell2%20Robo3-based-on-Pubmed-ID-26586761-in-mouse,"Nell2 (mel91, A330108N19Rik)","Robo3 (Rig-1, Rbig1, Robo3b, Robo3a, Rig1)",MGI:1858510,MGI:1343102,ENSMUSG00000022454,ENSMUSG00000032128,NELL2 (NRP2),"ROBO3 (HGPPS, RBIG1, FLJ21044, HGPS)",secreted,cell membrane
CDB20:0002858,Nlgn4l Nrxn1,Nlgn4l,Nrxn1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nlgn4l%20Nrxn1-based-on-Pubmed-ID-20543817-in-mouse,"Nlgn4l (NL4, NL-4, Nlgn4)","Nrxn1 (alpha-latrotoxin receptor (calcium-dependent), neurexin I beta, neurexin I alpha, neurexin I beta, neurexin I beta, neurexin I alpha, neurexin I alpha, 1700062G21Rik, A230068P09Rik, 9330127H16Rik)",MGI:3775191,MGI:1096391,ENSMUSG00000121607,ENSMUSG00000024109,"NLGN4X (NLGN4, KIAA1260, NLGN, HLNX)","NRXN1 (KIAA0578, Hs.22998)",cell membrane,cell membrane
CDB20:0002859,Nppa Npr2,Nppa,Npr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nppa%20Npr2-based-on-Pubmed-ID-1309330-in-mouse,"Nppa (atrial natriuretic peptide, ANP, natriuretic peptide precursor A, Anf, Pnd)","Npr2 (guanylyl cyclase-B, cn, pwe)",MGI:97367,MGI:97372,ENSMUSG00000041616,ENSMUSG00000028469,"NPPA (ANP, PND)","NPR2 (ANPRB, NPRB, AMDM, GUCY2B, ANPb, GC-B)",secreted,cell membrane
CDB20:0002860,Ntn1 Mcam,Ntn1,Mcam,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Ntn1%20Mcam-based-on-Pubmed-ID-25656845-in-mouse,Ntn1 (Netrin-1),"Mcam (s-endo, CD146, s-gicerin, 1-gicerin, Muc18)",MGI:105088,MGI:1933966,ENSMUSG00000020902,ENSMUSG00000032135,"NTN1 (NTN1L, NET1)","MCAM (MUC18, CD146, MelCAM, METCAM, HEMCAM)",secreted,cell membrane
CDB20:0002861,Ntrk3 Ptprs,Ntrk3,Ptprs,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Ntrk3%20Ptprs-based-on-Pubmed-ID-21262467-in-mouse,Ntrk3 (TrkC),"Ptprs (PTP-NU3, PTPsigma, RPTPsigma, Ptpt9)",MGI:97385,MGI:97815,ENSMUSG00000059146,ENSMUSG00000013236,NTRK3 (TRKC),"PTPRS (PTPsigma, PTP-sigma)",cell membrane,cell membrane
CDB20:0002863,Pdcd1lg2 Pdcd1,Pdcd1lg2,Pdcd1,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Pdcd1lg2%20Pdcd1-based-on-Pubmed-ID-12810690,%2020587542-in-mouse","Pdcd1lg2 (B7-DC, PD-L2, Btdc, F730015O22Rik)","Pdcd1 (PD-1, Pdc1)",MGI:1930125,MGI:104879,ENSMUSG00000016498,ENSMUSG00000026285,"PDCD1LG2 (PD-L2, Btdc, PDL2, bA574F11.2, CD273, B7-DC, B7DC)","PDCD1 (SLEB2, CD279, PD1, hSLE1, PD-1)","secreted, cell membrane",cell membrane
CDB20:0002864,Pdcd1lg2 Rgmb,Pdcd1lg2,Rgmb,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Pdcd1lg2%20Rgmb-based-on-Pubmed-ID-24752301-in-mouse,"Pdcd1lg2 (B7-DC, PD-L2, Btdc, F730015O22Rik)","Rgmb (1110059F19Rik, DRAGON, RGM domain family, member B)",MGI:1930125,MGI:1916049,ENSMUSG00000016498,ENSMUSG00000048027,"PDCD1LG2 (PD-L2, Btdc, PDL2, bA574F11.2, CD273, B7-DC, B7DC)","RGMB (FLJ90406, DRAGON)","secreted, cell membrane",cell membrane
CDB20:0002865,Pdpn Clec1b,Pdpn,Clec1b,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Pdpn%20Clec1b-based-on-Pubmed-ID-25458834,%2029853539-in-mouse","Pdpn (PA2.26, OTS-8, T1alpha, T1a, Gp38, RANDAM-2)","Clec1b (Clec-2, 1810061I13Rik, Clec2)",MGI:103098,MGI:1913287,ENSMUSG00000028583,ENSMUSG00000030159,"PDPN (T1A-2, Gp38, aggrus, GP40, PA2.26, D2-40)","CLEC1B (CLEC2, CLEC-2)",cell membrane,cell membrane
CDB20:0002866,Pecam1 Cd38,Pecam1,Cd38,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Pecam1%20Cd38-based-on-Pubmed-ID-9551996-in-mouse,"Pecam1 (PECAM-1, Cd31)",Cd38 (Cd38-rs1),MGI:97537,MGI:107474,ENSMUSG00000020717,ENSMUSG00000029084,PECAM1 (CD31),CD38 (cADPR1),cell membrane,cell membrane
CDB20:0002868,Pglyrp1 Trem1,Pglyrp1,Trem1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Pglyrp1%20Trem1-based-on-Pubmed-ID-25595774-in-mouse,"Pglyrp1 (Tag7, peptidoglycan recognition protein, Tnfsf3l, Tasg7, PGRP-S)",Trem1,MGI:1345092,MGI:1930005,ENSMUSG00000030413,ENSMUSG00000042265,"PGLYRP1 (TNFSF3L, PGLYRP, TAG7, PGRP, PGRP-S, PGRPS)","TREM1 (TREM-1, CD354)",secreted,cell membrane
CDB20:0002869,Pla2g2a Itga4,Pla2g2a,Itga4,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Pla2g2a%20Itga4-based-on-Pubmed-ID-18635536,%2025398877-in-mouse","Pla2g2a (EF, Enhancing factor, modifier of Min1)","Itga4 (VLA-4 receptor, alpha 4 subunit)",MGI:104642,MGI:96603,ENSMUSG00000058908,ENSMUSG00000027009,"PLA2G2A (PLA2B, PLA2L)","ITGA4 (CD49D, CD49d)","secreted, cell membrane",cell membrane
CDB20:0002870,Pla2g2a Itga5,Pla2g2a,Itga5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Pla2g2a%20Itga5-based-on-Pubmed-ID-25398877-in-mouse,"Pla2g2a (EF, Enhancing factor, modifier of Min1)","Itga5 (Fnra, Cd49e)",MGI:104642,MGI:96604,ENSMUSG00000058908,ENSMUSG00000000555,"PLA2G2A (PLA2B, PLA2L)","ITGA5 (FNRA, CD49e)","secreted, cell membrane",cell membrane
CDB20:0002871,Pla2g2a Itgav,Pla2g2a,Itgav,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Pla2g2a%20Itgav-based-on-Pubmed-ID-18635536,%2025398877-in-mouse","Pla2g2a (EF, Enhancing factor, modifier of Min1)","Itgav (vitronectin receptor alpha polypeptide  (VNRA), CD51, alphav-integrin, 1110004F14Rik, 2610028E01Rik, D430040G12Rik)",MGI:104642,MGI:96608,ENSMUSG00000058908,ENSMUSG00000027087,"PLA2G2A (PLA2B, PLA2L)","ITGAV (VNRA, MSK8, VTNR, CD51)","secreted, cell membrane",cell membrane
